14,1108
26,911
29,1074
30,1079
36,1073
38,1077
38,1078
39,1141
39,1142
40,1139
40,1140
42,1125
43,1097
50,1106
53,1101
53,1104
54,1098
55,1096
55,1105
56,1099
60,1126
65,930
67,931
88,928
91,926
91,927
93,922
93,923
95,1116
95,1117
96,924
98,906
101,980
102,976
102,977
105,986
106,975
106,978
106,982
106,1128
111,984
112,983
112,985
116,1133
116,1134
117,979
121,981
132,903
132,904
135,899
135,900
136,902
141,901
142,1115
142,1118
143,879
149,881
151,878
151,880
151,892
151,905
152,895
158,1124
184,1123
186,1069
191,1135
191,1136
193,1065
193,1067
194,1066
194,1068
194,1070
195,1095
201,877
202,870
202,871
204,1061
206,1063
207,1062
207,1064
208,1121
211,1113
211,1114
212,869
215,872
215,874
216,862
222,873
223,915
274,1058
274,1059
283,993
287,875
409,1122
413,970
414,966
414,967
417,964
418,972
418,974
423,963
424,1131
424,1132
426,1127
428,973
430,971
465,942
466,937
466,939
467,935
467,939
468,934
468,937
472,941
473,936
487,1143
488,888
488,889
492,885
496,894
499,882
499,886
501,893
502,887
504,1119
504,1120
505,890
522,961
524,907
526,962
528,943
530,944
549,1129
563,863
566,857
566,858
566,859
568,860
568,866
569,868
571,861
573,897
573,898
574,867
575,1111
578,896
584,1072
584,1082
585,1071
586,1081
700,1086
702,1088
706,1094
708,1089
708,1092
709,1087
711,1085
711,1093
715,1060
717,1083
718,1137
718,1138
722,1107
30,31
50,51
54,53
55,56
88,89
96,95
98,99
101,102
105,104
111,112
117,116
121,120
132,133
136,135
141,142
142,143
143,144
152,153
186,187
193,194
201,202
211,212
215,216
216,217
222,221
414,413
417,416
423,422
424,423
430,431
466,467
472,473
522,521
524,523
526,525
573,574
585,584
700,699
702,701
706,705
709,708
711,710
717,718
14,12
30,32
50,52
54,52
56,58
93,91
112,110
149,151
186,188
194,192
193,195
466,468
467,469
473,471
472,474
566,564
584,582
586,584
706,704
29,32
36,39
91,88
93,90
91,94
105,108
152,155
191,194
207,204
207,210
215,218
222,219
466,463
468,471
573,576
586,583
584,587
585,588
36,32
38,34
43,47
95,91
132,136
151,147
193,189
195,191
201,197
202,198
207,203
206,210
222,218
468,464
472,468
467,471
711,707
706,710
14,9
50,45
53,48
54,49
102,107
151,146
195,190
204,209
417,422
466,461
467,462
472,467
709,704
91,97
112,118
152,146
194,188
418,412
414,420
566,572
101,108
194,187
195,188
466,459
468,475
573,566
709,716
29,37
96,88
111,119
135,143
467,475
29,38
116,107
117,108
121,112
212,221
413,422
575,566
711,702
718,709
29,39
55,45
132,142
135,145
143,153
186,196
211,201
428,418
718,728
55,44
151,140
207,196
424,413
418,429
711,700
718,729
55,43
101,113
102,114
149,137
141,153
430,418
718,730
105,118
428,415
717,704
708,721
54,40
413,427
566,580
116,101
201,221
132,153
136,157
91,69
700,723
566,526
135,81
135,80
136,81
67,11
135,79
151,86
149,83
142,75
142,74
142,70
287,215
287,214
215,288
706,780
222,297
142,62
566,485
530,446
530,445
223,133
424,534
428,539
566,454
424,537
222,336
424,538
522,407
566,451
524,405
151,275
201,76
566,441
566,439
566,438
151,281
566,435
283,151
211,78
211,77
143,277
143,278
151,15
143,279
149,285
151,13
283,145
186,324
586,724
142,286
211,64
211,63
151,2
152,3
211,61
26,225
468,697
465,696
26,269
142,446
98,407
142,459
417,736
93,435
222,565
93,437
488,143
568,219
501,151
488,136
563,211
215,567
571,218
211,564
569,215
216,570
152,507
496,140
571,215
492,135
152,510
499,140
132,491
222,581
135,495
136,498
505,142
201,564
502,137
132,498
212,581
504,133
504,132
575,202
201,576
202,577
578,197
67,455
194,595
116,535
116,536
116,540
111,541
530,27
204,712
191,713
191,714
715,191
715,188
191,719
566,20
30,582
573,19
573,11
702,138
105,758
722,52
152,823
722,40
39,725
39,726
39,727
40,731
40,732
40,733
30,790
50,811
