,0,1,2,3,4,5,6,7
0,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
1,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
2,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
3,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
4,3.1521123e-20,0.19938108,1.3528039e-06,0.00467579,1.4751267e-24,3.5651815e-09,0.79594177,3.2517065e-16
5,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
6,0.30572364,0.034075934,0.01319777,0.04007502,0.0042788605,0.070995376,0.5312898,0.00036363097
7,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
8,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
9,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
10,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
11,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
12,7.6317327e-34,0.012819535,1.531106e-14,1.11914554e-10,0.0,6.823563e-16,0.9871804,2.6276123e-36
13,2.3269942e-17,0.058752164,2.0185956e-07,0.0019449745,3.1310334e-20,2.478322e-08,0.93930256,7.334436e-16
14,0.0,0.0013303966,2.0563349e-21,3.4089232e-19,0.0,1.9091674e-23,0.9986696,0.0
15,4.1274635e-29,0.019361338,6.1167555e-12,4.8941377e-08,5.463582e-36,1.9377983e-13,0.98063856,1.462146e-29
16,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
17,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
18,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
19,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
20,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
21,7.487688e-11,0.20165005,4.489697e-06,0.00012184428,5.731542e-16,6.088305e-06,0.79821754,3.9274957e-15
22,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
23,0.0,0.30172318,1.2263726e-18,5.637445e-13,0.0,8.355764e-20,0.6982768,0.0
24,5.5675686e-30,0.57546735,1.2197574e-22,1.9768887e-29,0.0,4.0409543e-17,0.42453268,0.0
25,0.016012277,0.02504407,0.008642036,0.34294882,0.0025993744,0.027231762,0.57503515,0.0024864555
26,0.8364298,7.8142706e-14,0.002326621,2.3828764e-37,2.0773327e-32,0.15325862,0.0079849,0.0
27,2.1133379e-14,1.3877894e-13,0.039885532,1.1050797e-13,1.6323007e-37,3.908697e-13,0.9601144,2.6064529e-27
28,0.05231529,1.6798744e-15,0.09072695,6.529985e-14,1.9324346e-20,0.00017213849,0.8567857,6.1540266e-26
29,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
30,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
31,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
32,0.30572423,0.03407581,0.013197767,0.04007482,0.0042788535,0.07099543,0.53128946,0.0003636283
33,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
34,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
35,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
36,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
37,0.06749862,0.0027789662,0.01464941,0.024254471,0.0014873557,0.07526195,0.81397724,9.200815e-05
